"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"53","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2090,"Copper","installation_demand","kt",1.13285179706213
"54","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2090,"Zirconium","installation_demand","kt",0.0277433093158072
"55","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2095,"Copper","installation_demand","kt",1.29471495849474
"56","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2095,"Zirconium","installation_demand","kt",0.0317073051059936
"57","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2100,"Copper","installation_demand","kt",1.27672348443031
"58","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - BWR",2100,"Zirconium","installation_demand","kt",0.0312666975778852
"59","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2035,"Copper","installation_demand","kt",0.0704525004422702
"60","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2035,"Graphite","installation_demand","kt",0.429760252697848
"61","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2035,"Silicon carbide","installation_demand","kt",0.000704525004422702
"62","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2040,"Copper","installation_demand","kt",0.110421741871699
"63","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2040,"Graphite","installation_demand","kt",0.673572625417363
"64","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2040,"Silicon carbide","installation_demand","kt",0.00110421741871699
"65","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2045,"Copper","installation_demand","kt",0.149501672449572
"66","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2045,"Graphite","installation_demand","kt",0.911960201942392
