"Units","scenario","Trade","ReactorCost","FuelCost","region","Technology","year","value"
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2095,4.25485836310651
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2100,4.1104220144574
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2035,0.356869200568832
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2040,0.502535592196525
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2045,0.521255415255695
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2050,0.950686929597383
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2055,0.831669197624906
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2060,0.747188074048451
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2065,0.812673381542841
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2070,0.852569706297084
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2075,0.846330901051118
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2080,1.07231466966293
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2085,0.821828853796206
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2090,0.715200141962633
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2095,0.817218748117455
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - PWR modular",2100,0.784954823008741
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2030,1.55988530684018
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2035,2.89303041974654
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2040,5.52991205567508
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2045,6.12196819960688
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2050,11.0609144541567
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2055,9.58142148536855
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2060,8.57057148410103
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2065,9.2879148311427
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2070,9.70449392965272
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2075,9.5903145938841
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2080,12.1047473253209
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2085,9.22174465207297
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2090,7.973949529667
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2095,9.05618291154785
"GW","Limited Trade","Limited","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - Large - PWR",2100,8.64594143060063
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2035,0.172141959362378
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2040,0.226351418576879
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2045,0.245497838259093
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2050,0.439725031899342
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2055,0.414476781286228
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2060,0.387337467368084
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2065,0.42433075440001
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2070,0.453006770211071
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2075,0.455555446521275
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2080,0.589333694236802
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2085,0.451463253675614
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2090,0.386434527231448
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2095,0.43531595817554
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - MSR",2100,0.431646273167399
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2035,0.352262502211351
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2040,0.552108709358494
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2045,0.747508362247862
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2050,1.54817434363407
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2055,1.65174668828816
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2060,1.66551567354155
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2065,1.92329997156931
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2070,2.13588956026747
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2075,2.21770615861053
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2080,2.94427653165224
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2085,2.31651506812871
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2090,2.0155395656783
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2095,2.29716148331326
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - HTGR",2100,2.27297290961521
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2035,0.338255004469042
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2040,0.450052622669699
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2045,0.545464432881359
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2050,1.03090549426466
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2055,1.02906894809995
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2060,0.998113434359046
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2065,1.12284183678059
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2070,1.22769533423232
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2075,1.26080768233735
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2080,1.66035358181701
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2085,1.29666633138625
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2090,1.12419795064618
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2095,1.27891078024659
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - SFR",2100,1.29131342967057
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2035,0.419666131580934
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2040,0.789363896732542
"GW","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","USA","Nuclear - SMR - BWR",2045,1.17357685049574
