"region","year","Technology_detailed","value","Technology","Units","scenario","Trade","ReactorCost","FuelCost"
"USA",2040,"Nuclear - SMR - MSR",3.82036666666667,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2040,"Nuclear - SMR - PWR modular",6.717225,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2040,"Nuclear - SMR - SFR",6.96652777777778,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - Large - PWR",148.301222222222,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - Legacy",787.016666666667,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - SMR - BWR",20.5478055555556,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - SMR - HTGR",14.9125555555556,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - SMR - MSR",6.73250833333333,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - SMR - PWR modular",10.9673861111111,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2045,"Nuclear - SMR - SFR",12.4211111111111,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2050,"Nuclear - Large - PWR",244.899027777778,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2050,"Nuclear - Legacy",759.169583333333,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2050,"Nuclear - SMR - BWR",43.8873333333333,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2050,"Nuclear - SMR - HTGR",30.11275,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
